id_ordem;id_unico_peca;codigo_layout;qtd_cortada_no_layout;tempo_corte_segundos;recorte
;;5443I29951L1-;1;50.062135803;1
;;5443I29951L1-;1;48.470703103;1
;;5443I29951L1-;1;48.114192776;1
;;5443I29951L1-;1;47.816488275;1
;;5443I29951L1-;1;46.702852922;1
;;5443I29951L1-;1;45.831791606;1
;;5443I29951L1-;1;44.718156253;1
;;5443I29951L1-;1;40.35182358;1
;;5443I29951L1-;1;34.541072776;1
11017423;168195959;5443I29951L1-;1;14.70145681;0
;;5443I29951L1-;1;13.683663646;1
;;5443I29951L1-;1;26.717070549;1
;;5443I29951L1-;1;26.717070549;1
;;5443I29951L1-;1;26.717070549;1
;;5443I29951L1-;1;26.717070549;1
;;5443I29951L1-;1;26.717070549;1
;;5443I29951L1-;1;26.717070549;1
;;5443I29951L2-;1;71.586372356;1
11018224;168197483;5443I29951L3-;1;97.482179297;0
11018224;168197484;5443I29951L3-;1;97.482179297;0
;;5443I29951L3-;1;31.284523571;1
;;5443I29951L3-;1;29.444931272;1
;;5443I29951L3-;1;29.309768202;1
;;5443I29951L3-;1;16.653077134;1
;;5443I29951L3-;1;16.653077134;1
;;5443I29951L3-;1;16.653077134;1
;;5443I29951L3-;1;16.653077134;1
11018217;168197465;5443I29951L4-;1;32.864351747;0
11018217;168197466;5443I29951L4-;1;32.864351747;0
11018217;168197467;5443I29951L4-;1;32.864351747;0
11018217;168197468;5443I29951L4-;1;32.864351747;0
11018215;168197461;5443I29951L4-;1;75.454339145;0
11018222;168197479;5443I29951L4-;1;41.823964639;0
;;5443I29951L4-;1;23.934150617;1
;;5443I29951L4-;1;21.43839433;1
;;5443I29951L4-;1;13.827917986;1
;;5443I29951L4-;1;13.827917986;1
;;5443I29951L4-;1;13.827917986;1
11018215;168197462;5443I29951L5-;1;66.260309481;0
11018214;168197459;5443I29951L5-;1;41.290379995;0
11018214;168197460;5443I29951L5-;1;41.290379995;0
11018250;168197547;5443I29951L5-;1;38.086619407;0
11018250;168197548;5443I29951L5-;1;38.086619407;0
11018213;168197457;5443I29951L5-;1;31.722787335;0
11017429;168195966;5443I29951L5-;1;6.631749081;0
;;5443I29951L5-;1;18.365100603;1
11018223;168197481;5443I29951L6-;1;46.513497555;0
11018223;168197482;5443I29951L6-;1;46.513497555;0
11018216;168197463;5443I29951L6-;1;46.784929106;0
11018216;168197464;5443I29951L6-;1;46.784929106;0
11018213;168197458;5443I29951L6-;1;29.008512591;0
11018248;168197541;5443I29951L6-;1;13.938773898;0
11018248;168197542;5443I29951L6-;1;13.938773898;0
11018218;168197471;5443I29951L7-;1;39.778173471;0
11018217;168197469;5443I29951L7-;1;23.077166546;0
11018217;168197470;5443I29951L7-;1;23.077166546;0
11018218;168197472;5443I29951L7-;1;39.778173471;0
11018222;168197480;5443I29951L7-;1;29.368557305;0
;;5443I29951L8-;1;57.333952378;1
;;5443I29951L8-;1;56.792782403;1
;;5443I29951L8-;1;54.937342487;1
;;5443I29951L8-;1;53.172097568;1
;;5443I29951L8-;1;15.9724435;1
;;5443I29951L8-;1;15.9724435;1
;;5443I29951L8-;1;15.9724435;1
;;5443I29951L8-;1;14.173499352;1
;;5443I29951L8-;1;14.173499352;1
;;5443I29951L8-;1;14.173499352;1
;;5443I29951L8-;1;13.083230171;1
;;5443I29951L8-;1;13.083230171;1
;;5443I29951L8-;1;13.083230171;1
;;5443I29951L8-;1;31.221344726;1
;;5443I29951L8-;1;31.221344726;1
;;5443I29951L8-;1;31.221344726;1
;;5443I29951L8-;1;31.221344726;1
;;5443I29951L8-;1;31.221344726;1
;;5443I29951L8-;1;31.221344726;1
;;5443I29951L8-;1;31.221344726;1
;;5443I29951L8-;1;31.221344726;1
;;5443I29951L8-;1;31.221344726;1
;;5443I29951L8-;1;31.221344726;1
;;5443I29951L8-;1;31.221344726;1
;;5443I29951L8-;1;31.221344726;1
;;5443I29951L9-;1;46.874989448;1
11017433;168195976;5443I29951L9-;1;6.564238441;0
;;5443I29951L9-;1;46.677271423;1
;;5443I29951L9-;1;46.677271423;1
11018257;168197577;5443I29951L10-;1;56.879184755;0
11018257;168197578;5443I29951L10-;1;56.879184755;0
11018255;168197571;5443I29951L11-;1;36.435613625;0
11018255;168197572;5443I29951L11-;1;36.435613625;0
11018253;168197553;5443I29951L11-;1;11.090104337;0
11018253;168197554;5443I29951L11-;1;11.090104337;0
11018253;168197555;5443I29951L11-;1;11.090104337;0
11018253;168197556;5443I29951L11-;1;11.090104337;0
11018255;168197573;5443I29951L11-;1;36.435613625;0
11018255;168197574;5443I29951L11-;1;36.435613625;0
11018212;168197453;5443I29951L11-;1;28.418392364;0
11018212;168197454;5443I29951L11-;1;28.418392364;0
11018212;168197455;5443I29951L12-;1;39.47126041;0
11018212;168197456;5443I29951L12-;1;39.47126041;0
11018221;168197477;5443I29951L13-;1;51.00769307;0
11018221;168197478;5443I29951L13-;1;51.00769307;0
11018252;168197551;5443I29951L13-;1;95.289096944;0
11018220;168197475;5443I29951L13-;1;12.051268143;0
11018220;168197476;5443I29951L13-;1;12.051268143;0
11018254;168197557;5443I29951L13-;1;9.195264397;0
11018254;168197558;5443I29951L13-;1;9.195264397;0
11018252;168197552;5443I29951L14-;1;110.607911844;0
11018254;168197559;5443I29951L14-;1;10.67350858;0
11018254;168197560;5443I29951L14-;1;10.67350858;0
11018254;168197561;5443I29951L14-;1;10.67350858;0
11018254;168197562;5443I29951L14-;1;10.67350858;0
11018254;168197563;5443I29951L14-;1;10.67350858;0
11018254;168197564;5443I29951L14-;1;10.67350858;0
11018254;168197565;5443I29951L14-;1;10.67350858;0
11018254;168197566;5443I29951L14-;1;10.67350858;0
11018254;168197567;5443I29951L14-;1;10.67350858;0
11018254;168197568;5443I29951L14-;1;10.67350858;0
11018254;168197569;5443I29951L14-;1;10.67350858;0
11018254;168197570;5443I29951L14-;1;10.67350858;0
11018219;168197473;5443I29951L15-;1;40.041589282;0
11018219;168197474;5443I29951L15-;1;40.041589282;0
11018246;168197537;5443I29951L16-;1;26.693007767;0
11018246;168197538;5443I29951L16-;1;26.693007767;0
11018245;168197535;5443I29951L16-;1;12.743758547;0
11018245;168197536;5443I29951L16-;1;12.743758547;0
11018251;168197549;5443I29951L16-;1;21.41401839;0
11018251;168197550;5443I29951L16-;1;21.41401839;0
11018225;168197485;5443I29951L16-;1;16.734462562;0
11018225;168197486;5443I29951L16-;1;16.734462562;0
11018226;168197487;5443I29951L17-;1;37.563176837;0
11018226;168197488;5443I29951L17-;1;37.563176837;0
11018226;168197489;5443I29951L17-;1;37.563176837;0
11018247;168197539;5443I29951L17-;1;37.989330103;0
11018247;168197540;5443I29951L17-;1;37.989330103;0
11018226;168197490;5443I29951L18-;1;44.987601802;0
11018244;168197533;5443I29951L18-;1;34.775692191;0
11018244;168197534;5443I29951L18-;1;34.775692191;0
11018228;168197493;5443I29951L19-;1;29.327373508;0
11018228;168197494;5443I29951L19-;1;29.327373508;0
11018227;168197491;5443I29951L19-;1;24.672234856;0
11018227;168197492;5443I29951L19-;1;24.672234856;0
11018229;168197495;5443I29951L19-;1;52.805516808;0
11018229;168197496;5443I29951L20-;1;73.053033722;0
11018658;168199168;5443I29951L21-;1;50.916903002;0
11018658;168199169;5443I29951L21-;1;50.916903002;0
11018659;168199170;5443I29951L21-;1;50.916903002;0
11018659;168199171;5443I29951L21-;1;50.916903002;0
11018659;168199172;5443I29951L21-;1;50.916903002;0
11018230;168197497;5443I29951L21-;1;78.269751052;0
;;5443I29951L21-;1;20.142950638;1
;;5443I29951L21-;1;20.142950638;1
;;5443I29951L21-;1;20.142950638;1
;;5443I29951L21-;1;20.142950638;1
;;5443I29951L21-;1;20.142950638;1
;;5443I29951L21-;1;20.142950638;1
11018659;168199173;5443I29951L22-;1;47.417515862;0
11018659;168199174;5443I29951L22-;1;47.417515862;0
11018659;168199175;5443I29951L22-;1;47.417515862;0
11018659;168199176;5443I29951L22-;1;47.417515862;0
11018659;168199177;5443I29951L22-;1;47.417515862;0
11018230;168197498;5443I29951L22-;1;72.890473363;0
;;5443I29951L22-;1;18.758577704;1
;;5443I29951L22-;1;18.758577704;1
;;5443I29951L22-;1;18.758577704;1
;;5443I29951L22-;1;18.758577704;1
11018233;168197505;5443I29951L23-;1;25.984194519;0
11018233;168197506;5443I29951L23-;1;25.984194519;0
11018233;168197507;5443I29951L23-;1;25.984194519;0
11018233;168197508;5443I29951L23-;1;25.984194519;0
11018234;168197511;5443I29951L23-;1;40.452755006;0
11018234;168197512;5443I29951L23-;1;40.452755006;0
11018231;168197499;5443I29951L23-;1;8.656203931;0
11018231;168197500;5443I29951L23-;1;8.656203931;0
11018231;168197501;5443I29951L23-;1;8.656203931;0
11018231;168197502;5443I29951L23-;1;8.656203931;0
;;5443I29951L23-;1;10.518339611;1
11018237;168197517;5443I29951L24-;1;24.608359899;0
11018237;168197518;5443I29951L24-;1;24.608359899;0
11018233;168197509;5443I29951L24-;1;12.153208416;0
11018233;168197510;5443I29951L24-;1;12.153208416;0
11018236;168197515;5443I29951L24-;1;19.291168532;0
11018236;168197516;5443I29951L24-;1;19.291168532;0
11018235;168197513;5443I29951L24-;1;19.281147146;0
11018235;168197514;5443I29951L24-;1;19.281147146;0
11018232;168197503;5443I29951L24-;1;18.910355855;0
11018232;168197504;5443I29951L24-;1;18.910355855;0
11018238;168197519;5443I29951L25-;1;32.043964699;0
11018238;168197520;5443I29951L25-;1;32.043964699;0
11018240;168197523;5443I29951L25-;1;23.989077682;0
11018240;168197524;5443I29951L25-;1;23.989077682;0
11018240;168197525;5443I29951L25-;1;23.989077682;0
11018240;168197526;5443I29951L25-;1;23.989077682;0
11018239;168197521;5443I29951L25-;1;36.887819828;0
11018239;168197522;5443I29951L26-;1;72.5641466;0
11018241;168197527;5443I29951L27-;1;39.47126041;0
11018241;168197528;5443I29951L27-;1;39.47126041;0
11018242;168197529;5443I29951L28-;1;39.993755248;0
11018242;168197530;5443I29951L28-;1;39.993755248;0
11018243;168197531;5443I29951L29-;1;39.549549869;0
11018243;168197532;5443I29951L29-;1;39.549549869;0
;;5443I29951L29-;1;34.319857325;1
;;5443I29951L29-;1;34.319857325;1
;;5443I29951L29-;1;34.319857325;1
;;5443I29951L29-;1;34.319857325;1
11018249;168197543;5443I29951L30-;1;30.23545119;0
11018249;168197544;5443I29951L30-;1;30.23545119;0
11018249;168197545;5443I29951L30-;1;30.23545119;0
11018249;168197546;5443I29951L30-;1;30.23545119;0
11018256;168197575;5443I29951L31-;1;53.637879529;0
11018256;168197576;5443I29951L31-;1;53.637879529;0
11018660;168199178;5443I29951L31-;1;46.600285407;0
11018660;168199179;5443I29951L31-;1;46.600285407;0
11018661;168199180;5443I29951L31-;1;23.556188228;0
11018661;168199181;5443I29951L31-;1;23.556188228;0
11018258;168197579;5443I29951L32-;1;49.808313282;0
11018259;168197581;5443I29951L32-;1;8.8767291;0
11018259;168197582;5443I29951L32-;1;8.8767291;0
11018259;168197583;5443I29951L32-;1;8.8767291;0
11018259;168197584;5443I29951L32-;1;8.8767291;0
11018258;168197580;5443I29951L32-;1;49.808313282;0
11018262;168197589;5443I29951L33-;1;45.61282824;0
11018262;168197590;5443I29951L33-;1;45.61282824;0
11018260;168197585;5443I29951L33-;1;36.819285999;0
11018260;168197586;5443I29951L33-;1;36.819285999;0
11018261;168197587;5443I29951L33-;1;15.041070025;0
11018261;168197588;5443I29951L33-;1;15.041070025;0
11018263;168197591;5443I29951L33-;1;32.78483232;0
11018263;168197592;5443I29951L34-;1;72.539702244;0
11018264;168197593;5443I29951L35-;1;75.686750642;0
11018264;168197594;5443I29951L35-;1;75.686750642;0
11018266;168197597;5443I29951L35-;1;23.367572919;0
11018266;168197598;5443I29951L35-;1;23.367572919;0
11018267;168197599;5443I29951L35-;1;5.281711687;0
11018267;168197600;5443I29951L35-;1;5.281711687;0
11018265;168197595;5443I29951L36-;1;42.429611464;0
11018265;168197596;5443I29951L36-;1;42.429611464;0
11018268;168197601;5443I29951L37-;1;8.344868809;0
11018268;168197602;5443I29951L37-;1;8.344868809;0
11018268;168197603;5443I29951L37-;1;8.344868809;0
11018268;168197604;5443I29951L37-;1;8.344868809;0
11018268;168197605;5443I29951L37-;1;8.344868809;0
11018268;168197606;5443I29951L37-;1;8.344868809;0
11018268;168197607;5443I29951L37-;1;8.344868809;0
11018268;168197608;5443I29951L37-;1;8.344868809;0
11018268;168197609;5443I29951L37-;1;8.344868809;0
11018268;168197610;5443I29951L37-;1;8.344868809;0
11018268;168197611;5443I29951L37-;1;8.344868809;0
11018268;168197612;5443I29951L37-;1;8.344868809;0
11019000;168200157;5443I29951L38-;1;43.732278558;0
11019000;168200158;5443I29951L38-;1;43.732278558;0
11019000;168200159;5443I29951L38-;1;43.732278558;0
11019000;168200160;5443I29951L38-;1;43.732278558;0
;;5443I29951L39-;1;22.878946235;1
;;5443I29951L39-;1;44.091288426;1
;;5443I29951L39-;1;44.091288426;1
;;5443I29951L39-;1;44.091288426;1
;;5443I29951L39-;1;44.091288426;1
;;5443I29951L39-;1;44.091288426;1
;;5443I29951L40-;1;71.488594932;1
;;5443I29951L41-;1;46.817716994;1
;;5443I29951L41-;1;46.765565965;1
;;5443I29951L41-;1;45.395732273;1
;;5443I29951L41-;1;35.08025876;1
;;5443I29951L41-;1;7.377632219;1
